SchoolName,Street,City,State,Zip,Address,PhysicalAddress,PhysicalCity,PhysicalState,PhysicalZip,Phone,Email,Website,Administrator,latitude,longitude
A Sea of Learning,2410 Arendell Street,Morehead City,NC,28557,"2410 Arendell Street Morehead City, NC 28557",4723 Country Club Road,Morehead City,NC,28557,(252) 240-2566,info@aseaoflearning.org,www.aseaoflearning.org,Terri Morley Fowler,34.72327811,-76.73563251
ABC of NC Child Develop. Ctr,905 Friedberg Church Rd.,Winston-Salem,NC,27127,"905 Friedberg Church Rd. Winston-Salem, NC 27127",905 Friedberg Church Rd.,Winston-Salem,NC,27127,(336) 251-1180,leighellen.spencer@abcofnc.org,www.abcofnc.org,Mrs. Selene  Johnson,35.99588399,-80.27287506
Abundant Life Christian Academy,4224 Blanchard Cir.,Indian Trail,NC,28079,"4224 Blanchard Cir. Indian Trail, NC 28079",4224 Blanchard Cir.,Indian Trail,NC,28079,(704) 251-5859,a.guzman@abundantlifenc.academy,NA,Alisha  Guzman,35.05016867,-80.68271564
Academy at SOAR,112 Virginia Ave. Bldg. B,Waynesville,NC,28786,"112 Virginia Ave. Bldg. B Waynesville, NC 28786",112 Virginia Ave. Bldg. B,Waynesville,NC,28786,(828) 456-3315,joe@soarnc.org,www.academyatsoar.org,Mr. Jospeh D. Geier,35.47786931,-82.99950422
Academy of Coastal Carolina,434 Mt. Pisgah Rd,Supply,NC,28462,"434 Mt. Pisgah Rd Supply, NC 28462",434 Mt. Pisgah Rd SW,Supply,NC,28462,(910) 754-9637,lhall@theacademyofcoastalcarolina.org,www.theacademyofcoastalcarolina.org,Mrs. Lydia C. Hall,33.99295832,-78.3025365
Academy of Excellence,612 South Race Street,Statesville,NC,28677,"612 South Race Street Statesville, NC 28677",612 South Race Street,Statesville,NC,28677,(704) 500-4220,aofexcellence@yahoo.com,www.aoe.org,Dr. Carl D. Lykes,35.77642219,-80.89300627
Academy of Unique Learners,937 S MCPHERSON CHURCH RD,Fayetteville,NC,28303,"937 S MCPHERSON CHURCH RD Fayetteville, NC 28303",NA,NA,NA,NA,(910) 229-1795,Jazzmine.Admin@academyofunique.com,NA,Jazzmine Adell Stewart,35.0480922,-78.93754269
Academy of Unique Learners,340 Northeast Blvd  Clinton NC 28328,Clinton,NC,28328,"340 Northeast Blvd  Clinton NC 28328 Clinton, NC 28328",NA,NA,NA,NA,(910) 882-1849,Clinton.Admin@academyofunique.com,NA,Jazzmine Adell Stewart,35.01113925,-78.31876361
Academy31,3504 Edwards Mill Rd,Raleigh,NC,27612,"3504 Edwards Mill Rd Raleigh, NC 27612",3504 Edwards Mill Rd,Raleigh,NC,27612,(919) 977-8920,info@academy31.org,academy31.org,Kimberly Hall Wilson,35.82766653,-78.70328033
Adaptive Learning Academy,12030 Bay Tree Way,Charlotte,NC,28277,"12030 Bay Tree Way Charlotte, NC 28277",709 Northeast Drive Suite 23,Davidson,NC,28036,(704) 771-5282,syrondamills@adaptivelearningclt.com,adaptivelearningclt.com,Syronda  McCorkle Mills,35.04494345,-80.80190191
Advance IB Academy,401 hawthorne lane suite 110-229,Charlotte,NC,28204,"401 hawthorne lane suite 110-229 Charlotte, NC 28204",3509 David cox rd #M,charlotte,NC,28269,(704) 978-7625,records@advanceib.org,NA,Casandra Deshawnna Blasse,35.21585915,-80.82209839
Adventist Christian Academy,4601 Emory Lane,Charlotte,NC,28211,"4601 Emory Lane Charlotte, NC 28211",4601 Emory Lane,Charlotte,NC,28211,(704) 366-4351,acaoffice@adventistchristianacademy.org,www.adventistchristianacademy.org,Mr. Terry  Tryon,35.17890133,-80.78734125
Agape Christian Academy,1431 Freeway Drive,Reidsville,NC,27320,"1431 Freeway Drive Reidsville, NC 27320",1431 Freeway Drive,Reidsville,NC,27320,(336) 613-0346,anthony0346@yahoo.com,NA,George Anthony Rucker,36.34126835,-79.69317562
AHOP Christian Leadership Academy  Inc.,200 Currie Street  Ste 102,Chapel Hill,NC,27517,"200 Currie Street  Ste 102 Chapel Hill, NC 27517",50101 Governors Drive,Chapel Hill,NC,27517,(919) 589-4529,admin@myacla.org,myacla.org,Tish S. Fields,35.85699662,-79.02535536
Ahoskie Christian School,500-504 Kiwanis Street,Ahoskie,NC,27910,"500-504 Kiwanis Street Ahoskie, NC 27910",500-504 Kiwanis Street,Ahoskie,NC,27910,(252) 332-2764,ahoskiefwb@gmail.com,www.ahoskiechristianschool.com,Mrs. Elaine  Pool,36.27871821,-76.97623491
Alamance Christian School,PO Box 838  1336 Town Branch Road,Graham,NC,27253,"PO Box 838  1336 Town Branch Road Graham, NC 27253",1336 Town Branch Road,Graham,NC,27253,(336) 578-0318,mloflin@alamancechristianschool.org,www.alamancechristianschool.org,Mr. Michael  Loflin,36.07307902,-79.37222684
Albemarle School,1210 US HWY 17 S,Elizabeth City,NC,27909,"1210 US HWY 17 S Elizabeth City, NC 27909",1210 US HWY 17 S,Elizabeth City,NC,27909,(252) 338-0883,t.simpson@thealbemarleschool.org,www.thealbemarleschool.org,Dr. Tracie M. Simpson,36.27691556,-76.28306467
ALC Mosaic,6100 Monroe Road,Charlotte,NC,28212,"6100 Monroe Road Charlotte, NC 28212",6100 Monroe Road,Charlotte,NC,28212,(704) 709-9886,info@alcmosaic.org,alcmosaic.org,Tomis  Parker,35.1840626,-80.76132828
Alex. Youth Net. Struc Day Sch,309 Concord Street  Suite 201,Greensboro,NC,27406,"309 Concord Street  Suite 201 Greensboro, NC 27406",309 Concord Street  Suite 201,Greensboro,NC,27406,(336) 273-4687,mnichols@youthfocus.org,www.youthfocus.org,Ms. Mary  Cooper,36.04325631,-79.79714562
Alexander Children's Center,6220 Thermal Road,Charlotte,NC,28211,"6220 Thermal Road Charlotte, NC 28211",6220 Thermal Road,Charlotte,NC,28211,(704) 366-8712,lshinhoster@alexanderyouthnetwork.org,www.alexanderyouthnetwork.org,Mr. Leonard  Shinhoster,35.16086002,-80.75587601
Alexander Christian Academy,3919 Icard Ridge Road,Hickory,NC,28601,"3919 Icard Ridge Road Hickory, NC 28601",3919 Icard Ridge Road; 250 Hiddenite Church Road; 61 C. I. Chatman Court,Hickory,NC,28601,(828) 471-7826,agettler@alexanderchristianacademy.com,www.alexanderchristianacademy.com,Mrs. Angela  Gettler,35.83327345,-81.33591391
