Primary_Key,School.Number,School.Year,School.Name,Official.School.Name,LEA.Number,LEA.Name,Name.Prefix.Description,Principal.First.Name,Principal.Middle.Name,Principal.Last.Name,Principal.Name.Suffix,Principal.Email,Address.Line1,Address.Line2,City,State,Zip.Code.5,Zip.Code.4,Address,Phone.Office.Area,Phone.Office.Exch,Phone.Office.Line,Phone.Fax.Area,Phone.Fax.Exch,Phone.Fax.Line,Phone,Mailing.Address.Line1,Mailing.Address.Line2,Mailing.City,Mailing.State,Mailing.Zip.Code.5,Mailing.Zip.Code.4,URL.School.Address,Sch.Operational.Status,Sch.Operational.Status.Desc,Opening.Effective.Date,Closing.Date,School.Type,School.Type.Desc,School.Program.Type,School.Program.Type.Desc,Grade.Level.Current,Grade.Level.Approved,Grade.Level.First.Year,Title.I,School.Calendar.Type,School.Calendar.Description,Extended.Hours,School.Schedule.Type,School.Schedule.Type.Desc,School.Designation.Type,School.Designation.Desc,Virtual.Status,SBE.Region,SBE.Region.Names,Accreditation.Status,Accreditation.Status.Desc,Federal.School.Number,College.Board.Number,School.Membership,School.Year.For.Sch.Membership,School.Teacher.Count,School.Year.For.Teachers,Cooperative.Innovative.HS,Cooperative.MMYYYY.SBE.Approve,First.Yr.Est.ADM,First.Yr.Est.Paid.Teacher.FTE,Newly.Constructed.Facility,Occupancy.Date,What.Facility.Will.Sch.Occupy,Share.Space,Share.Space.Describe,New.Sch.Population.From,List.Of.Closing.Schools,County.Code,County.Description,Opening.In.School.Year,Locale.Type,Locale.Type.Desc,School.Closings.,School.Systartstatus,Record.Created.Timestamp,Record.Created.By,Last.Changed.Timestamp,Last.Changed.By,latitude,longitude
00A0002025,00A000,2025,North Carolina Cyber Academy,North Carolina Cyber Academy,00A,North Carolina Cyber Academy,Mr,Martez,-,Hill,Martez Hill,mhill@myncca.com,2800 Meridian Parkway,Suite 150,Durham,NC,27713,-,"2800 Meridian Parkway Durham, NC 27713",984,262,9237,919,406,63,984 262-9237,-,-,-,-,-,-,http://www.myncca.com,1,Open,1-Jul-15,-,R,Regular School,N,None,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09,-,T,Traditional,-,B,Block,C,Charter,FULLVIRTUAL,3,North Central,SA,SACS,3.70E+11,341070,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,Durham,2016,12,"City, Midsize",-,-,03-11-2015 12:00AM,nicola_lefler,01-04-2021 10:05AM,kyerkie,35.91435913,-78.90094078
00B0002025,00B000,2025,NC Virtual Academy,NC Virtual Academy,00B,NC Virtual Academy,-,Katie,-,Gomersall,Katie Gomersall,kgomersall@k12.com,4220 NC Highway 55,Suite 130,Durham,NC,27713,-,"4220 NC Highway 55 Durham, NC 27713",919,346,121,919,324,6597,919 346-121,-,-,-,-,-,-,http://ncva.k12.com/,1,Open,1-Jul-15,-,R,Regular School,N,None,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10:11:12,KG:01:02:03:04:05:06:07:08:09:10,-,T,Traditional,-,S,Semester,C,Charter,FULLVIRTUAL,3,North Central,-,-,3.70E+11,341071,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,Durham,2016,41,"Rural, Fringe",-,-,03-11-2015 12:00AM,nicola_lefler,04-02-2018 10:12AM,nicola_lefler,35.91502352,-78.89170267
103032025,10303,2025,ABSS Early College at ACC,ABSS Early College at ACC,10,Alamance-Burlington Schools,-,Whitney,-,Fliehman,Whitney Fliehman,whitney_fliehman@abss.k12.nc.us,1247 Jimmie Kerr Road,-,Graham,NC,27253,-,"1247 Jimmie Kerr Road Graham, NC 27253",336,506,4001,336,506,4004,336 506-4001,PO Box 8000,-,Graham,NC,27253,-,https://www.abss.k12.nc.us/o/abec,1,Open,2-Jan-06,-,R,Regular School,C,Cooperative Innovative High School,09:10:11:12:13:XG,09:10:11:12:13:XG,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,341546,-,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-23-2024 02:22PM,isaac_lake,36.06344611,-79.35795086
103042025,10304,2025,Alexander Wilson Elementary,Alexander Wilson Elementary,10,Alamance-Burlington Schools,Ms,Ashley,-,Westmoreland,Ashley Westmoreland,ashley_westmoreland@abss.k12.nc.us,2518 NC 54,-,Graham,NC,27253,-,"2518 NC 54 Graham, NC 27253",336,578,1366,336,578,8092,336 578-1366,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/awes,1,Open,30-Jun-90,-,R,Regular School,N,None,PK:KG:01:02:03:04:05,PK:KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:23PM,carla_bopp,36.029073,-79.3469417
103102025,10310,2025,Broadview Middle,Broadview Middle,10,Alamance-Burlington Schools,-,Nicole,-,Lancaster,Nicole Lancaster,nicole_lancaster@abss.k12.nc.us,2229 Broadview Drive,-,Burlington,NC,27217,4303,"2229 Broadview Drive Burlington, NC 27217",336,570,6195,336,570,6202,336 570-6195,-,-,-,-,-,-,http://brm.abss.k12.nc.us/,1,Open,30-Jun-96,-,R,Regular School,N,None,6:07:08,6:07:08,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:31PM,carla_bopp,36.08643119,-79.39785492
103112025,10311,2025,Career and Technical Education Center,Career and Technical Education Center,10,Alamance-Burlington Schools,-,Clifton,-,Davis,Clifton Davis,clifton_davis@abss.k12.nc.us,2550 Buckingham Road,-,Burlington,NC,27217,-,"2550 Buckingham Road Burlington, NC 27217",336,570,6092,336,570,6093,336 570-6092,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/ctec,1,Open,24-Jan-12,-,V,Vocational Education,N,None,09:10:11:12,09:10:11:12,09:10:11:12,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,991631,-,-,-,-,N,-,0,15,Y,15-Aug-11,-,N,-,All high schools,-,1,Alamance,2011,41,"Rural, Fringe",N,-,04-28-2010 02:36PM,nicola_lefler,07-03-2023 03:35PM,carla_bopp,36.0930752,-79.38501866
103202025,10320,2025,E M Yoder Elementary,E M Yoder Elementary,10,Alamance-Burlington Schools,Ms,Danielle,-,Gibbs,Danielle Gibbs,danielle_gibbs@abss.k12.nc.us,301 N Charles Street,-,Mebane,NC,27302,2328,"301 N Charles Street Mebane, NC 27302",919,563,3722,919,563,9079,919 563-3722,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/emyes,1,Open,30-Jun-90,-,R,Regular School,N,None,PK:KG:01:02:03:04:05,PK:KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:26PM,carla_bopp,36.09965206,-79.27393244
103242025,10324,2025,Eastern Alamance High,Eastern Alamance High,10,Alamance-Burlington Schools,-,Suzanne,-,Simpson,Suzanne Simpson,catherine_simpson@abss.k12.nc.us,4040 Mebane Rogers,-,Mebane,NC,27302,9729,"4040 Mebane Rogers Mebane, NC 27302",919,563,5991,919,563,6114,919 563-5991,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/eahs,1,Open,30-Jun-90,-,R,Regular School,N,None,09:10:11:12:XG,09:10:11:12:XG,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,342575,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:33PM,carla_bopp,36.11279958,-79.30279928
103262025,10326,2025,Eastlawn Elementary,Eastlawn Elementary,10,Alamance-Burlington Schools,Mrs,Syeda,-,Smith-Williams,Syeda Smith-Williams,syeda_smithwilliams@abss.k12.nc.us,502 N Graham Hopedale Road,-,Burlington,NC,27217,2945,"502 N Graham Hopedale Road Burlington, NC 27217",336,570,6180,336,570,6204,336 570-6180,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/eastlawnes,1,Open,30-Jun-96,-,R,Regular School,N,None,P3:PK:KG:01:02:03:04:05,P3:PK:KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:25PM,carla_bopp,36.10264992,-79.40584544
103282025,10328,2025,Edwin M Holt Elementary,Edwin M Holt Elementary,10,Alamance-Burlington Schools,Dr,Leslie,-,Hersinger,Leslie Hersinger,leslie_hersinger@abss.k12.nc.us,4751 S NC 62,-,Burlington,NC,27215,-,"4751 S NC 62 Burlington, NC 27215",336,570,6420,336,570,6429,336 570-6420,-,-,-,-,-,-,https://www.abss.k12.nc.us/o/emhes,1,Open,30-Jun-90,-,R,Regular School,N,None,KG:01:02:03:04:05,KG:01:02:03:04:05,-,-,T,Traditional,-,S,Semester,P,Public,NOTVIRTUAL,5,Piedmont Triad,ST,State,3.70E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,Alamance,-,41,"Rural, Fringe",-,1,04-23-2010 02:49PM,EDDIE,07-03-2023 03:26PM,carla_bopp,36.02429348,-79.48684243
